timestamp,G1,G2,G3,G4,G5,G6,total,label
1970-01-01 00:20:15,0,0,0,1,0,0,1,LOW
1970-01-01 00:20:16,0,0,1,0,0,0,1,LOW
1970-01-01 00:20:17,0,1,0,0,0,0,1,LOW
1970-01-01 00:20:19,1,0,0,0,0,0,1,LOW
1970-01-01 00:20:22,0,0,0,0,1,1,2,LOW
1970-01-01 00:20:25,0,0,0,1,0,0,1,LOW
1970-01-01 00:20:31,0,0,0,0,0,1,1,LOW
1970-01-01 00:20:32,0,1,0,0,1,0,2,LOW
1970-01-01 00:20:33,1,0,0,0,0,0,1,LOW
1970-01-01 00:20:35,0,0,0,1,0,0,1,LOW
1970-01-01 00:20:42,0,0,0,0,1,1,2,LOW
1970-01-01 00:20:46,0,0,0,1,0,0,1,LOW
1970-01-01 00:20:50,0,0,1,0,0,0,1,LOW
1970-01-01 00:20:51,1,1,0,0,0,0,2,LOW
1970-01-01 00:20:52,0,0,0,0,0,1,1,LOW
1970-01-01 00:20:55,0,0,0,1,0,0,1,LOW
1970-01-01 00:20:56,0,0,0,0,1,0,1,LOW
1970-01-01 00:21:00,1,0,1,0,0,0,2,LOW
1970-01-01 00:21:01,0,0,0,0,0,1,1,LOW
1970-01-01 00:21:04,0,1,0,0,0,0,1,LOW
1970-01-01 00:21:06,0,0,0,1,1,0,2,LOW
1970-01-01 00:21:11,0,0,1,0,0,1,2,LOW
1970-01-01 00:21:16,0,0,0,1,0,0,1,LOW
1970-01-01 00:21:17,1,0,0,0,0,0,1,LOW
1970-01-01 00:21:19,0,1,0,0,1,0,2,LOW
1970-01-01 00:21:21,0,0,1,0,0,1,2,LOW
1970-01-01 00:21:26,0,0,0,1,0,0,1,LOW
1970-01-01 00:21:28,0,0,0,0,1,0,1,LOW
1970-01-01 00:21:30,0,0,0,0,0,1,1,LOW
1970-01-01 00:21:34,0,0,1,0,0,0,1,LOW
1970-01-01 00:21:35,1,0,0,1,0,0,2,LOW
1970-01-01 00:21:38,0,0,0,0,1,0,1,LOW
1970-01-01 00:21:39,0,1,0,0,0,0,1,LOW
1970-01-01 00:21:40,0,0,0,0,0,1,1,LOW
1970-01-01 00:21:45,0,0,0,1,0,0,1,LOW
1970-01-01 00:21:47,0,0,0,0,1,0,1,LOW
1970-01-01 00:21:49,0,1,0,0,0,0,1,LOW
1970-01-01 00:21:50,0,0,0,0,0,1,1,LOW
1970-01-01 00:21:52,1,0,0,0,0,0,1,LOW
1970-01-01 00:21:54,0,0,0,1,0,0,1,LOW
1970-01-01 00:21:56,0,0,0,0,1,0,1,LOW
1970-01-01 00:22:01,0,0,0,0,0,1,1,LOW
1970-01-01 00:22:03,0,0,1,0,0,0,1,LOW
1970-01-01 00:22:04,1,0,0,0,0,0,1,LOW
1970-01-01 00:22:05,0,0,0,0,1,0,1,LOW
1970-01-01 00:22:06,0,0,0,1,0,0,1,LOW
1970-01-01 00:22:10,0,1,0,0,0,0,1,LOW
1970-01-01 00:22:11,0,0,0,0,0,1,1,LOW
1970-01-01 00:22:12,0,0,1,0,0,0,1,LOW
1970-01-01 00:22:14,0,0,0,0,1,0,1,LOW
1970-01-01 00:22:15,0,0,0,1,0,0,1,LOW
1970-01-01 00:22:16,1,0,0,0,0,0,1,LOW
1970-01-01 00:22:20,0,0,0,0,0,1,1,LOW
1970-01-01 00:22:21,0,1,0,0,0,0,1,LOW
1970-01-01 00:22:23,0,0,0,0,1,0,1,LOW
1970-01-01 00:22:27,0,0,1,1,0,0,2,LOW
1970-01-01 00:22:30,0,1,0,0,0,1,2,LOW
1970-01-01 00:22:33,1,0,0,0,0,0,1,LOW
1970-01-01 00:22:34,0,0,0,0,1,0,1,LOW
1970-01-01 00:22:37,0,0,0,1,0,0,1,LOW
1970-01-01 00:22:38,0,0,1,0,0,0,1,LOW
1970-01-01 00:22:40,0,1,0,0,0,1,2,LOW
